0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:38:41 -0400] "GET / HTTP/1.1" 200 5001
0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:38:42 -0400] "GET /live HTTP/1.1" 500 -
0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:38:42 -0400] "GET /chart HTTP/1.1" 200 2135
0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:38:42 -0400] "GET /graph HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:38:42 -0400] "GET /graph HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:38:42 -0400] "GET /graph HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:38:42 -0400] "GET /favicon.ico HTTP/1.1" 200 5001
0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:38:42 -0400] "GET /chart HTTP/1.1" 200 2135
0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:38:42 -0400] "GET /graph HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:38:43 -0400] "GET /graph HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:38:43 -0400] "GET /chart HTTP/1.1" 200 2135
0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:38:43 -0400] "GET /graph HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:38:43 -0400] "GET /graph HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:38:43 -0400] "GET /graph HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:38:43 -0400] "GET /chart HTTP/1.1" 200 2135
0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:38:43 -0400] "GET /graph HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:38:44 -0400] "GET /graph HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:38:44 -0400] "GET /chart HTTP/1.1" 200 2135
0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:38:44 -0400] "GET /graph HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:38:44 -0400] "GET /graph HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:38:44 -0400] "GET /chart HTTP/1.1" 200 2135
0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:38:44 -0400] "GET /graph HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:38:44 -0400] "GET /graph HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:38:45 -0400] "GET /graph HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:38:45 -0400] "GET /chart HTTP/1.1" 200 2135
0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:38:45 -0400] "GET /graph HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:38:45 -0400] "GET /graph HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:38:45 -0400] "GET /chart HTTP/1.1" 200 2135
0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:38:45 -0400] "GET /graph HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:38:45 -0400] "GET /graph HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:38:46 -0400] "GET /graph HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:38:46 -0400] "GET /chart HTTP/1.1" 200 2135
0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:38:46 -0400] "GET /graph HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:38:46 -0400] "GET /graph HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:38:46 -0400] "GET /chart HTTP/1.1" 200 2135
0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:38:46 -0400] "GET /graph HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:38:46 -0400] "GET /graph HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:38:47 -0400] "GET /graph HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:38:47 -0400] "GET /chart HTTP/1.1" 200 2135
0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:38:47 -0400] "GET /graph HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:38:47 -0400] "GET /graph HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:38:47 -0400] "GET /chart HTTP/1.1" 200 2135
0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:38:47 -0400] "GET /graph HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:38:47 -0400] "GET /graph HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:38:48 -0400] "GET /graph HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:38:48 -0400] "GET /chart HTTP/1.1" 200 2135
0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:38:48 -0400] "GET /graph HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:38:48 -0400] "GET /graph HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:38:48 -0400] "GET /chart HTTP/1.1" 200 2135
0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:38:48 -0400] "GET /graph HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:38:49 -0400] "GET /graph HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:38:49 -0400] "GET /graph HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:38:49 -0400] "GET /chart HTTP/1.1" 200 2135
0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:38:49 -0400] "GET /graph HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:38:49 -0400] "GET /graph HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:38:49 -0400] "GET /chart HTTP/1.1" 200 2135
0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:38:49 -0400] "GET /graph HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:38:50 -0400] "GET /graph HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:38:50 -0400] "GET /graph HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:38:50 -0400] "GET /chart HTTP/1.1" 200 2135
0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:38:50 -0400] "GET /graph HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:38:50 -0400] "GET /graph HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:38:50 -0400] "GET /chart HTTP/1.1" 200 2135
0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:38:50 -0400] "GET /graph HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:38:51 -0400] "GET /graph HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:38:51 -0400] "GET /graph HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:38:51 -0400] "GET /chart HTTP/1.1" 200 2135
0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:38:51 -0400] "GET /graph HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:38:51 -0400] "GET /graph HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:38:51 -0400] "GET /chart HTTP/1.1" 200 2135
0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:38:51 -0400] "GET /graph HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:38:52 -0400] "GET /graph HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:38:52 -0400] "GET /graph HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:38:52 -0400] "GET /chart HTTP/1.1" 200 2135
0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:38:52 -0400] "GET /graph HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:38:52 -0400] "GET /graph HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:38:52 -0400] "GET /chart HTTP/1.1" 200 2135
0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:38:52 -0400] "GET /graph HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:38:53 -0400] "GET /graph HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:38:53 -0400] "GET /graph HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:38:53 -0400] "GET /chart HTTP/1.1" 200 2135
0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:38:53 -0400] "GET /graph HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:38:53 -0400] "GET /graph HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:38:53 -0400] "GET /chart HTTP/1.1" 200 2135
0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:38:53 -0400] "GET /graph HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:38:54 -0400] "GET /graph HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:38:54 -0400] "GET /graph HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:38:54 -0400] "GET /chart HTTP/1.1" 200 2135
0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:38:54 -0400] "GET /graph HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:38:54 -0400] "GET /graph HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:38:54 -0400] "GET /chart HTTP/1.1" 200 2135
0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:38:54 -0400] "GET /graph HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:38:55 -0400] "GET /graph HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:38:55 -0400] "GET /graph HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:38:55 -0400] "GET /chart HTTP/1.1" 200 2135
0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:38:55 -0400] "GET /graph HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:38:55 -0400] "GET /graph HTTP/1.1" 200 -
